game,mechanism,model,rq1_source_dir,rq2_source_dir,rq1_multiplier,rq2_multiplier,rq1_final_group_payoff_per_round,rq2_final_group_payoff_per_round,delta_final_group_payoff_per_round,rq1_final_payoff_per_agent_round,rq2_final_payoff_per_agent_round,delta_final_payoff_per_agent_round,rq1_base_payoff_per_agent_round,rq2_base_payoff_per_agent_round,delta_base_payoff_per_agent_round,rq1_mechanism_adjustment_per_agent_round,rq2_mechanism_adjustment_per_agent_round,delta_mechanism_adjustment_per_agent_round,rq1_resource_adjusted_surplus_per_agent_round,rq2_resource_adjusted_surplus_per_agent_round,delta_resource_adjusted_surplus_per_agent_round,rq1_normalized_net_welfare_pct,rq2_normalized_net_welfare_pct,delta_normalized_net_welfare_pct,rq1_normalized_base_welfare_pct,rq2_normalized_base_welfare_pct,delta_normalized_base_welfare_pct
PD,punishment,GLM-5.1,RQ1_result/result/prisoners_dilemma/090201_glm-5.1,RQ2_result/prisoners_dilemma_punishment/080408_glm-5.1-three,nan,nan,24.0,24.900000000000002,0.9000000000000021,1.0,1.0374999999999999,0.03749999999999987,1.0,1.0374999999999999,0.03749999999999987,0.0,0.0,0.0,0.0,0.03750000000000001,0.03750000000000001,0.0,1.8750000000000007,1.8750000000000007,0.0,1.8750000000000007,1.8750000000000007
PD,punishment,GPT-5.4,RQ1_result/result/prisoners_dilemma/082004_gpt-5.4,RQ2_result/prisoners_dilemma_punishment/080403_gpt-5.4-three,nan,nan,24.0,24.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD,punishment,Gemini-3.1-Pro-Preview,RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview,RQ2_result/prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three,nan,nan,26.3,30.2,3.8999999999999986,1.0958333333333334,1.2583333333333335,0.1625000000000001,1.0958333333333334,1.2583333333333335,0.1625000000000001,0.0,0.0,0.0,0.09583333333333337,0.25833333333333336,0.16249999999999998,4.791666666666669,12.91666666666667,8.125,4.791666666666669,12.91666666666667,8.125
PD,punishment,Claude-Opus-4-6,RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6,RQ2_result/prisoners_dilemma_punishment/080401_claude-opus-4-6-three,nan,nan,72.0,72.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
PD,punishment,Kimi-K2.6,RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6,RQ2_result/prisoners_dilemma_punishment/080404_kimi-k2.6-three,nan,nan,24.0,24.666666666666668,0.6666666666666679,1.0,1.0277777777777777,0.02777777777777768,1.0,1.0277777777777777,0.02777777777777768,0.0,0.0,0.0,0.0,0.027777777777777752,0.027777777777777752,0.0,1.3888888888888875,1.3888888888888875,0.0,1.3888888888888875,1.3888888888888875
PD,punishment,Grok-4.3,,RQ2_result/prisoners_dilemma_punishment/080405_grok-4.3-three,nan,nan,24.0,44.86666666666667,20.866666666666667,1.0,1.8694444444444445,0.8694444444444445,1.0,1.8694444444444445,0.8694444444444445,0.0,0.0,0.0,0.0,0.8694444444444445,0.8694444444444445,0.0,43.47222222222223,43.47222222222223,0.0,43.47222222222223,43.47222222222223
PD,punishment,DeepSeek-V4-Pro,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro,RQ2_result/prisoners_dilemma_punishment/091601_deepseek-v4-pro,nan,nan,24.099999999999998,39.666666666666664,15.566666666666666,1.0041666666666667,1.6527777777777777,0.648611111111111,1.0041666666666667,1.6527777777777777,0.648611111111111,0.0,0.0,0.0,0.004166666666666652,0.6527777777777778,0.6486111111111111,0.2083333333333326,32.638888888888886,32.43055555555555,0.2083333333333326,32.638888888888886,32.43055555555555
PD,reputation,GLM-5.1,RQ1_result/result/prisoners_dilemma/090201_glm-5.1,RQ2_result/prisoners_dilemma_reputation/072806_glm-5.1-three,nan,nan,24.0,28.166666666666668,4.166666666666668,1.0,1.1736111111111112,0.17361111111111116,1.0,1.1736111111111112,0.17361111111111116,0.0,0.0,0.0,0.0,0.17361111111111116,0.17361111111111116,0.0,8.680555555555557,8.680555555555557,0.0,8.680555555555557,8.680555555555557
PD,reputation,GPT-5.4,RQ1_result/result/prisoners_dilemma/082004_gpt-5.4,RQ2_result/prisoners_dilemma_reputation/072801_gpt-5.4_three,nan,nan,24.0,24.099999999999998,0.09999999999999787,1.0,1.0041666666666667,0.004166666666666652,1.0,1.0041666666666667,0.004166666666666652,0.0,0.0,0.0,0.0,0.004166666666666652,0.004166666666666652,0.0,0.2083333333333326,0.2083333333333326,0.0,0.2083333333333326,0.2083333333333326
PD,reputation,Gemini-3.1-Pro-Preview,RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview,RQ2_result/prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three,nan,nan,26.3,72.0,45.7,1.0958333333333334,3.0,1.9041666666666666,1.0958333333333334,3.0,1.9041666666666666,0.0,0.0,0.0,0.09583333333333337,2.0,1.9041666666666666,4.791666666666669,100.0,95.20833333333333,4.791666666666669,100.0,95.20833333333333
