rq,game,mechanism,model,source_dir,source_status,source_note,log_files,target_primary_mean_pct,target_primary_sd_pct,calculated_primary_mean_pct,calculated_primary_sd_pct,target_receiver_mean_pct,target_receiver_sd_pct,calculated_receiver_mean_pct,calculated_receiver_sd_pct,audit_status,n_runs,primary_cooperation_pct_mean,primary_cooperation_pct_sd,receiver_cooperation_pct_mean,receiver_cooperation_pct_sd,n_agents_mean,n_agents_sd,n_rounds_mean,n_rounds_sd,multiplier_mean,multiplier_sd,final_group_payoff_per_round_mean,final_group_payoff_per_round_sd,final_payoff_per_agent_round_mean,final_payoff_per_agent_round_sd,base_payoff_per_agent_round_mean,base_payoff_per_agent_round_sd,mechanism_adjustment_per_agent_round_mean,mechanism_adjustment_per_agent_round_sd,resource_adjusted_surplus_per_agent_round_mean,resource_adjusted_surplus_per_agent_round_sd,normalized_net_welfare_pct_mean,normalized_net_welfare_pct_sd,normalized_base_welfare_pct_mean,normalized_base_welfare_pct_sd
RQ1,PD,none,Llama-3-8B,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b,raw_logs,,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json;RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json;RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,2.22,1.2,2.222222222222222,1.2028130608117202,,,nan,nan,match,3.0,2.222222222222222,1.2028130608117202,nan,nan,24.0,0.0,10.0,0.0,nan,nan,25.600000000000005,0.8660254037844386,1.0666666666666667,0.03608439182435161,1.0666666666666667,0.03608439182435161,0.0,0.0,0.0666666666666668,0.03608439182435161,3.3333333333333406,1.8042195912175807,3.3333333333333406,1.8042195912175807
RQ1,PD,none,Llama-3-70B,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012403_llama3-70b,raw_logs,,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012403_llama3-70b/data/game_log1.json;RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012403_llama3-70b/data/game_log2.json;RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012403_llama3-70b/data/game_log3.json,0.14,0.24,0.1388888888888889,0.2405626121623441,,,nan,nan,match,3.0,0.1388888888888889,0.2405626121623441,nan,nan,24.0,0.0,10.0,0.0,nan,nan,24.099999999999998,0.17320508075688815,1.0041666666666667,0.007216878364870297,1.0041666666666667,0.007216878364870297,0.0,0.0,0.004166666666666652,0.007216878364870297,0.2083333333333326,0.3608439182435148,0.2083333333333326,0.3608439182435148
RQ1,PD,none,Qwen2.5-7B-Instruct,RQ1_old_result/result_prisoners_dilemma_group/10lun_3ci_020501_Qwen2.5-7B-Instruct,raw_logs,,RQ1_old_result/result_prisoners_dilemma_group/10lun_3ci_020501_Qwen2.5-7B-Instruct/data/game_log1.json;RQ1_old_result/result_prisoners_dilemma_group/10lun_3ci_020501_Qwen2.5-7B-Instruct/data/game_log2.json;RQ1_old_result/result_prisoners_dilemma_group/10lun_3ci_020501_Qwen2.5-7B-Instruct/data/game_log3.json,0.0,0.0,0.0,0.0,,,nan,nan,match,3.0,0.0,0.0,nan,nan,24.0,0.0,10.0,0.0,nan,nan,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ1,PD,none,GLM-5.1,RQ1_result/result/prisoners_dilemma/090201_glm-5.1,raw_logs,,RQ1_result/result/prisoners_dilemma/090201_glm-5.1/data/game_log1.json;RQ1_result/result/prisoners_dilemma/090201_glm-5.1/data/game_log2.json;RQ1_result/result/prisoners_dilemma/090201_glm-5.1/data/game_log3.json,0.0,0.0,0.0,0.0,,,nan,nan,match,3.0,0.0,0.0,nan,nan,24.0,0.0,10.0,0.0,nan,nan,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ1,PD,none,GPT-5.4,RQ1_result/result/prisoners_dilemma/082004_gpt-5.4,raw_logs,,RQ1_result/result/prisoners_dilemma/082004_gpt-5.4/data/game_log1.json;RQ1_result/result/prisoners_dilemma/082004_gpt-5.4/data/game_log2.json;RQ1_result/result/prisoners_dilemma/082004_gpt-5.4/data/game_log3.json,0.0,0.0,0.0,0.0,,,nan,nan,match,3.0,0.0,0.0,nan,nan,24.0,0.0,10.0,0.0,nan,nan,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ1,PD,none,Gemini-3.1-Pro-Preview,RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview,raw_logs,,RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview/data/game_log1.json;RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview/data/game_log2.json;RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview/data/game_log3.json,3.19,0.87,3.194444444444444,0.8673608331108883,,,nan,nan,match,3.0,3.194444444444444,0.8673608331108883,nan,nan,24.0,0.0,10.0,0.0,nan,nan,26.3,0.6244997998398393,1.0958333333333334,0.026020824993326655,1.0958333333333334,0.026020824993326655,0.0,0.0,0.09583333333333337,0.026020824993326655,4.791666666666669,1.3010412496663326,4.791666666666669,1.3010412496663326
RQ1,PD,none,Claude-Opus-4-6,RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6,raw_logs,,RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6/data/game_log1.json;RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6/data/game_log2.json;RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6/data/game_log3.json,100.0,0.0,100.0,0.0,,,nan,nan,match,3.0,100.0,0.0,nan,nan,24.0,0.0,10.0,0.0,nan,nan,72.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,100.0,0.0
RQ1,PD,none,Kimi-K2.6,RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6,raw_logs,,RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6/data/game_log1.json;RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6/data/game_log2.json;RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6/data/game_log3.json,0.0,0.0,0.0,0.0,,,nan,nan,match,3.0,0.0,0.0,nan,nan,24.0,0.0,10.0,0.0,nan,nan,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ1,PD,none,Grok-4.3,,accounting_reconstruction_from_attachment; no exactly matching raw directory,Current attachment reports 0.00% +/- 0.00%; available RQ1_result/result/prisoners_dilemma/072701_grok-4.3 logs give 0.69% +/- 0.24%. Exact DD payoff reconstructed from the current attachment value.,,0.0,0.0,0.0,0.0,,,nan,nan,reconstructed_no_matching_raw,3.0,0.0,0.0,nan,nan,24.0,0.0,10.0,0.0,nan,nan,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ1,PD,none,DeepSeek-V4-Pro,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro,raw_logs,,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log1.json;RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log2.json;RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log3.json,0.14,0.24,0.1388888888888889,0.2405626121623441,,,nan,nan,match,3.0,0.1388888888888889,0.2405626121623441,nan,nan,24.0,0.0,10.0,0.0,nan,nan,24.099999999999998,0.17320508075688815,1.0041666666666667,0.007216878364870297,1.0041666666666667,0.007216878364870297,0.0,0.0,0.004166666666666652,0.007216878364870297,0.2083333333333326,0.3608439182435148,0.2083333333333326,0.3608439182435148
